name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
리틀팍스어학원,학문/교육,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,629,서울특별시 강남구 대치동 629번지 ,서울특별시 강남구 남부순환로,"서울특별시 강남구 남부순환로 2913, (대치동)",127.0585077,37.49273992
레드매쓰,학문/교육,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,986,서울특별시 강남구 대치동 986-6번지 ,서울특별시 강남구 도곡로,"서울특별시 강남구 도곡로 531, (대치동)",127.0644632,37.50032008
보라매노래방,관광/여가/오락,11,서울특별시,11590,동작구,1159010900,신대방동,1.16E+18,498,서울특별시 동작구 신대방동 498-9번지 ,서울특별시 동작구 여의대방로,"서울특별시 동작구 여의대방로 86-1, (신대방동)",126.9163256,37.49672929
종로그릇,소매,11,서울특별시,11110,종로구,1111016300,종로5가,1.11E+18,193,서울특별시 종로구 종로5가 193-3번지 ,서울특별시 종로구 종로,"서울특별시 종로구 종로 230, (종로5가)",127.0031673,37.57070418
강서문방구,소매,11,서울특별시,11650,서초구,1165010800,서초동,1.17E+18,1534,서울특별시 서초구 서초동 1534-2번지 ,서울특별시 서초구 반포대로,"서울특별시 서초구 반포대로 45, (서초동)",127.0108264,37.48452915
한국부동산,부동산,11,서울특별시,11710,송파구,1171010200,신천동,1.17E+18,29,서울특별시 송파구 신천동 29-1,서울특별시 송파구 오금로,서울특별시 송파구 오금로 90,127.1058509,37.51407539
돈키호테미술학원,학문/교육,11,서울특별시,11710,송파구,1171010700,가락동,1.17E+18,164,서울특별시 송파구 가락동 164-5번지 ,서울특별시 송파구 동남로17길,"서울특별시 송파구 동남로17길 11, (가락동)",127.1311752,37.49674776
엔와이댄스학원,학문/교육,11,서울특별시,11710,송파구,1171010400,송파동,1.17E+18,106,서울특별시 송파구 송파동 106-14번지 ,서울특별시 송파구 가락로,"서울특별시 송파구 가락로 153, (송파동)",127.1126206,37.50312451
대박노래방,관광/여가/오락,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,995,서울특별시 강남구 대치동 995-8번지 ,서울특별시 강남구 영동대로,"서울특별시 강남구 영동대로 430, (대치동)",127.0642659,37.5079775
크린위드,생활서비스,11,서울특별시,11740,강동구,1174010800,성내동,1.17E+18,443,서울특별시 강동구 성내동 443-17번지 ,서울특별시 강동구 강동대로53길,"서울특별시 강동구 강동대로53길 44, (성내동)",127.1323217,37.52471609
랭콘잉글리쉬,학문/교육,11,서울특별시,11590,동작구,1159010200,상도동,1.16E+18,527,서울특별시 동작구 상도동 527번지 상도이수브라운스톤아파트 ,서울특별시 동작구 상도로31길,"서울특별시 동작구 상도로31길 19, (상도동, 상도이수브라운스톤아파트)",126.9445209,37.50622934
은성부동산중개인사무소,부동산,11,서울특별시,11740,강동구,1174010800,성내동,1.17E+18,245,서울특별시 강동구 성내동 245-34번지 ,서울특별시 강동구 양재대로103길,"서울특별시 강동구 양재대로103길 60, (성내동)",127.1346378,37.53380673
황금성게임랜드,관광/여가/오락,11,서울특별시,11545,금천구,1154510100,가산동,1.15E+18,139,서울특별시 금천구 가산동 139-12번지 ,서울특별시 금천구 디지털로,"서울특별시 금천구 디지털로 211, (가산동)",126.8892608,37.479331
대가떡,음식,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,629,서울특별시 강남구 대치동 629번지 ,서울특별시 강남구 남부순환로,"서울특별시 강남구 남부순환로 2913, (대치동)",127.0585077,37.49273992
내츄랜드아시아점,소매,11,서울특별시,11710,송파구,1171010100,잠실동,1.17E+18,85,서울특별시 송파구 잠실동 86번지 ,서울특별시 송파구 올림픽로4길,"서울특별시 송파구 올림픽로4길 15, (잠실동)",127.0767021,37.50843579
씨케이피,소매,11,서울특별시,11260,중랑구,1126010300,중화동,1.13E+18,301,서울특별시 중랑구 중화동 301-56번지 ,서울특별시 중랑구 동일로123길,"서울특별시 중랑구 동일로123길 16, (중화동)",127.0791334,37.59770381
